vendor_id,pickup_dayofweek,pickup_hour,dropoff_dayofweek,dropoff_hour,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,speed
Quito,4,11,4,11,-78.50205776,-0.1429104974,-78.50202124,-0.14305702,1576,8367,555,29.50166503
Quito,4,10,4,11,-78.48697511,-0.2061488162,-78.48157508,-0.1878695882,5809,2667,5440,26.0195122
Quito,4,11,4,11,-78.50656004,-0.1820050308,-78.47850687,-0.1861361832,1038,4938,433,29.3831405
Quito,4,11,4,11,-78.47845056,-0.196322029,-78.49390934,-0.1897946897,2135,8617,1009,27.54991119
Quito,4,11,4,12,-78.48697088,-0.2070408755,-78.4962932,-0.2137323432,436,1371,83,13.98186969
Quito,4,11,4,12,-78.46328286,-0.1313639256,-78.48574152,-0.17624678,1702,6882,698,24.67649402
Quito,4,11,4,12,-78.49345156,-0.1897335583,-78.47750217,-0.1877716206,1539,4632,769,21.6561039
Quito,4,12,4,12,-78.5026097,-0.14501566,-78.48641553,-0.1773198209,1071,5181,440,29.55879556
Quito,4,12,4,12,-78.50495592,-0.1768023809,-78.48073931,-0.1893396125,1748,6291,832,24.72445415
Quito,4,12,4,12,-78.4775253,-0.1877314113,-78.48827001,-0.1822882103,968,2758,645,30.73931889
Quito,4,12,4,12,-78.4883656,-0.1762335361,-78.49266653,-0.1989171026,647,3247,292,32.92732394
Quito,4,1,4,1,-78.49854282,-0.1966903,-78.50388332,-0.1249349158,1101,9423,267,40.67482014
Quito,4,2,4,2,-78.48274877,-0.1426945235,-78.47832001,-0.1422553985,61,573,22,52.89230769
Quito,4,1,4,2,-78.50249608,-0.1449989314,-78.5053569,-0.14540498,1304,5358,618,28.11778426
Quito,4,11,4,11,-78.50656004,-0.1820050308,-78.47850687,-0.1861361832,1038,4938,433,29.3831405
Quito,4,2,4,2,-78.47384365,-0.1616434806,-78.47127642,-0.1495031,283,1536,105,31.06516854
Quito,4,12,4,2,-78.48982746,-0.1115123929,-78.50410782,-0.1373623354,7855,5187,7201,28.55229358
Quito,4,2,4,3,-78.504822,-0.1771492798,-78.47555223,-0.1690164542,1962,9257,906,31.55795455
Quito,4,3,4,3,-78.49033996,-0.1838166,-78.47977663,-0.1135120314,1208,8620,396,38.21674877
Quito,2,12,2,1,-78.4370986,-0.0826864,-78.30851728,-0.12871562,3322,36685,448,45.9519833
Quito,4,3,4,3,-78.50705677,-0.1480306,-78.4634683,-0.1313655347,1458,8710,460,31.41883768
Quito,4,2,4,4,-78.49832249,-0.1627529079,-78.483115,-0.1719653711,4612,2748,2123,3.974608276
Quito,4,4,4,4,-78.50500354,-0.1768873168,-78.51141,-0.196440688,588,3838,101,28.37125257
Quito,4,4,4,4,-78.50690759,-0.1449755807,-78.49727731,-0.1605000633,439,2961,145,36.25714286
Quito,4,4,4,4,-78.48002636,-0.1136063616,-78.48084184,-0.18444242,2162,8673,1197,32.35523316
Quito,4,4,4,5,-78.50522465,-0.1771569549,-78.48785269,-0.1665985939,887,5848,297,35.68271186
Quito,4,5,4,5,-78.50495578,-0.1770999394,-78.4926892,-0.174574306,612,3942,202,34.61268293
Quito,4,5,4,5,-78.49266922,-0.1746022447,-78.48086184,-0.1801909247,754,2112,196,13.62580645
Quito,4,3,4,5,-78.48980841,-0.1037761007,-78.36524789,-0.1181502251,8041,19239,4690,20.66857654
Quito,4,5,4,5,-78.4977554,-0.1291416,-78.49263668,-0.14180934,333,1803,140,33.63108808
Quito,4,5,4,6,-78.49989112,-0.2062408458,-78.54117272,-0.24194908,4097,16801,1729,25.54206081
Quito,4,6,4,6,-78.49652894,-0.1179610851,-78.48422502,-0.10271198,927,2755,492,22.8
Quito,4,7,4,7,-78.5047324,-0.1770644939,-78.50544003,-0.2185698437,1099,7643,162,29.36478122
Quito,4,7,4,7,-78.50489322,-0.1771191167,-78.48180909,-0.09374311905,1913,14802,519,38.22611191
Quito,4,6,4,8,-78.50204997,-0.2039588602,-78.48496274,-0.112231905,7684,13073,6217,32.0809816
Quito,4,6,4,6,-78.49652894,-0.1179610851,-78.48422502,-0.10271198,927,2755,492,22.8
Quito,4,9,4,9,-78.48612,-0.1941117,-78.49237134,-0.16942966,985,4502,502,33.5552795
Quito,4,9,4,9,-78.48213515,-0.207385256,-78.47944032,-0.1983561533,403,1393,220,27.40327869
Quito,4,10,4,10,-78.4757233,-0.1889833,-78.49138064,-0.20307234,623,4026,121,28.87171315
Quito,4,9,4,10,-78.48106646,-0.19702514,-78.499733,-0.173100176,1855,6302,1185,33.86149254
Quito,4,10,4,10,-78.48835789,-0.1887731316,-78.48510074,-0.20875387,606,3092,260,32.17109827
Quito,4,10,4,11,-78.48748636,-0.2166092301,-78.47949007,-0.1864996177,825,5583,230,33.7794958
Quito,4,11,4,11,-78.50427295,-0.2157013183,-78.49006757,-0.20453342,915,5586,297,32.53980583
Quito,4,11,5,12,-78.48314513,-0.1914746405,-78.48266763,-0.186790472,286,671,198,27.45
Quito,5,6,5,6,-78.53658707,-0.2489860031,-78.49744628,-0.26206332,1762,8026,589,24.63222506
Quito,5,6,5,6,-78.52900663,-0.232081894,-78.51128572,-0.22321578,1228,3548,633,21.46689076
Quito,5,6,5,6,-78.52707907,-0.2355279549,-78.51523788,-0.237919604,564,2591,168,23.55454545
